label;name;latex_short;latex_long;units;order;valid;age_shift
'mst_xyz_mean_robust';['XYZ MST Mean (robust)'];['MST${{}}_{{XYZ}}$ Mean (robust)'];['MST${{}}_{{XYZ}}$ Mean (robust)'];['pc'];41;[False];[0.31]
'mst_xyz_mad';['XYZ MST MAD'];['MST${{}}_{{XYZ}}$ MAD'];['MST${{}}_{{XYZ}}$ MAD'];['pc'];42;[False];[-0.04]
'mst_ξηζ_mean';['ξηζ MST Mean'];['MST${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ Mean'];['MST${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ Mean'];['pc'];43;[False];[0.26]
'mst_ξηζ_mean_robust';['ξηζ MST Mean (robust)'];['MST${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ Mean (robust)'];['MST${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ Mean (robust)'];['pc'];44;[False];[0.33]
'mst_ξηζ_mad';['ξηζ MST MAD'];['MST${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ MAD'];['MST${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ MAD'];['pc'];45;[False];[0.0]
'branches_xyz_mean';['XYZ Branch Mean Length'];['Branches${{}}_{{XYZ}}$ Mean'];['Branches${{}}_{{XYZ}}$ Mean'];['pc'];46;[False];[0.0]
'branches_xyz_mean_robust';['XYZ Branch Mean Length (robust)'];['Branches${{}}_{{XYZ}}$ Mean (robust)'];['Branches${{}}_{{XYZ}}$ Mean (robust)'];['pc'];47;[False];[0.0]
'branches_xyz_mad';['XYZ Branch MAD'];['Branches${{}}_{{XYZ}}$ MAD'];['Branches${{}}_{{XYZ}}$ MAD'];['pc'];48;[False];[0.0]
'branches_ξηζ_mean';['ξηζ Branch Mean Length'];['Branches${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ Mean'];['Branches${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ Mean'];['pc'];49;[False];[0.0]
'branches_ξηζ_mean_robust';['ξηζ Branch Mean Length (robust)'];['Branches${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ Mean (robust)'];['Branches${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ Mean (robust)'];['pc'];50;[False];[0.0]
'branches_ξηζ_mad';['ξηζ Branch MAD'];['Branches${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ MAD'];['Branches${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$ MAD'];['pc'];51;[False];[0.0]
'mahalanobis_xyz_mean';['XYZ Mahalanobis Mean'];['MD${{}}_{{XYZ}}$ Mean'];['MD${{}}_{{XYZ}}$ Mean'];[''];52;[False];[0.0]
'mahalanobis_xyz_median';['XYZ Mahalanobis Median'];['MD${{}}_{{XYZ}}$ Median'];['MD${{}}_{{XYZ}}$ Median'];[''];53;[False];[0.0]
'mahalanobis_ξηζ_mean';['ξηζ Mahalanobis Mean'];['MD${{}}_{{ξηζ}}$ Mean'];['MD${{}}_{{ξηζ}}$ Mean'];[''];54;[False];[0.0]
'mahalanobis_ξηζ_median';['ξηζ Mahalanobis Median'];['MD${{}}_{{ξηζ}}$ Median'];['MD${{}}_{{ξηζ}}$ Median'];[''];55;[False];[0.0]
