spt,sptn,mass_ms,mass_ms_error,mass_prems, mass_prems_error  ,radius_ms,radius_ms_error,radius_prems,radius_prems_error,t_eff,conv_blueshift,conv_blueshift_error,grav_redshift_ms,grav_redshift_ms_error,grav_redshift_prems,grav_redshift_prems_error,total_shift_ms,total_shift_ms_error,total_shift_prems,total_shift_prems_error
,,m_sol,m_sol,m_sol,m_sol,r_sol,r_sol,r_sol,r_sol,K,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s
K2.5,52.5,0.75999999,0.079420000,0.97112394,0.10633807,0.76311111,0.068680003,0.99764622,0.19952925,0.0000000,-0.10647591,0.20629741,0.654305,0.0898872,0.645239,0.148502,0.54782937,0.22502961,0.53876261,0.25418779
K3.0,53.0,0.75000000,0.078375004,0.96204606,0.10534404,0.74866667,0.067380003,0.98850721,0.19770145,0.0000000,-0.090276895,0.20629741,0.650078,0.0895340,0.636591,0.146683,0.55980122,0.22488879,0.54631388,0.25312945
K3.5,53.5,0.73000002,0.076285005,0.94000685,0.10293075,0.73288889,0.065960003,0.97717920,0.19543584,0.0000000,-0.073677335,0.20629741,0.645851,0.0893061,0.632184,0.145680,0.57217362,0.22479813,0.55850634,0.25254929
K4.0,54.0,0.72000003,0.075240009,0.93070959,0.10191270,0.71644444,0.064480003,0.96487150,0.19297430,0.0000000,-0.056678331,0.20629741,0.645098,0.0889326,0.626123,0.144018,0.58841952,0.22465001,0.56944432,0.25159440
K4.5,54.5,0.70999998,0.074194998,0.92132645,0.10088524,0.70455556,0.063410003,0.95812734,0.19162547,0.0000000,-0.054102043,0.20629741,0.643020,0.0885607,0.619731,0.142938,0.58891817,0.22450305,0.56562879,0.25097799
K5.0,55.0,0.68000001,0.071060002,0.88580404,0.096995541,0.69477778,0.062530002,0.95406151,0.19081231,0.0000000,-0.051525756,0.20629741,0.640943,0.0881888,0.614569,0.141859,0.58941688,0.22435660,0.56304278,0.25036472
K5.5,55.5,0.66000003,0.068970002,0.86307041,0.094506209,0.67900000,0.061110002,0.94153961,0.18830792,0.0000000,-0.048949468,0.20629741,0.640127,0.0881610,0.609376,0.140840,0.59117783,0.22434569,0.56042660,0.24978877
K6.0,56.0,0.64999998,0.067924999,0.85327525,0.093433639,0.66033333,0.059430002,0.92513554,0.18502711,0.0000000,-0.046373180,0.20629741,0.639312,0.0882054,0.604233,0.140048,0.59293879,0.22436314,0.55786003,0.24934328
K6.5,56.5,0.63999999,0.066880003,0.84339166,0.092351385,0.64177778,0.057760002,0.91044018,0.18208804,0.0000000,-0.043796892,0.20629741,0.638497,0.0885639,0.600163,0.139233,0.59469980,0.22450431,0.55636573,0.24888652
K7.0,57.0,0.63000000,0.065834999,0.83341903,0.091259382,0.61933333,0.055740002,0.89091067,0.17818214,0.0000000,-0.041220605,0.20629741,0.640688,0.0889224,0.593885,0.137901,0.59946716,0.22464597,0.55266392,0.24814376
K8.0,58.0,0.58999997,0.061655000,0.78654203,0.086126351,0.59688889,0.053720002,0.87550802,0.17510161,0.0000000,-0.036068029,0.20629741,0.642879,0.0892665,0.587463,0.136478,0.60681080,0.22478241,0.55139499,0.24735573
K9.0,59.0,0.56000000,0.058520000,0.75232420,0.082379499,0.57333333,0.051600002,0.86248993,0.17249799,0.0000000,-0.030915453,0.20629741,0.643430,0.0894598,0.580965,0.134811,0.61251430,0.22485924,0.55004995,0.24644007
M0.0,60.0,0.55000001,0.057475004,0.74460641,0.081534401,0.54811111,0.049330002,0.85135151,0.17027031,0.0000000,-0.025762878,0.20629741,0.645235,0.0897766,0.566504,0.131267,0.61947248,0.22498548,0.54074083,0.24451902
M0.5,60.5,0.54000002,0.056430005,0.73389070,0.080361031,0.52040000,0.046836002,0.83736295,0.16747259,0.0000000,-0.023186590,0.20629741,0.648257,0.0900791,0.553985,0.128471,0.62507061,0.22510636,0.53079871,0.24302976
